iter	Logloss
0	0.564293335
1	0.3735008545
2	0.2479867249
3	0.1548990784
4	0.1107284241
5	0.0935584259
6	0.06839307404
7	0.06019922638
8	0.05018101501
9	0.04445530701
10	0.04080039597
11	0.03916323471
12	0.03286044693
13	0.03088323593
14	0.0302130928
15	0.02955146599
16	0.02886258507
17	0.02838653564
18	0.02568197632
19	0.02454644012
20	0.02422073364
21	0.02358534622
22	0.02039258575
23	0.02008438873
24	0.0197133255
25	0.0195124836
26	0.018974617
27	0.01868246078
28	0.01836200333
29	0.01738963699
30	0.01706417465
31	0.01694845009
32	0.01688896561
33	0.01678407478
34	0.01614166451
35	0.01599708652
36	0.01574900532
37	0.01565481758
38	0.01531956577
39	0.0152110548
40	0.01507841396
41	0.01488632107
42	0.01475926781
43	0.0140554924
44	0.01382516098
45	0.01376677418
46	0.01373152733
47	0.01366661835
48	0.01349355698
49	0.01333144188
50	0.01315703964
51	0.01293640709
52	0.01287645149
53	0.01244129467
54	0.01233557129
55	0.01221091461
56	0.01211360836
57	0.0119997139
58	0.01190559578
59	0.01178741264
60	0.01161301804
61	0.01151632404
62	0.01143963432
63	0.01130629635
64	0.01124414539
65	0.0112352066
66	0.0111413517
67	0.01109768963
68	0.01099548531
69	0.01097490215
70	0.01084335518
71	0.01075255108
72	0.01046614647
73	0.01031764984
74	0.01020989513
75	0.01014336586
76	0.009902412415
77	0.009876928329
78	0.00977753067
79	0.009747598648
80	0.009710583687
81	0.009646585464
82	0.009596946716
83	0.009493152618
84	0.009458456039
85	0.009447070122
86	0.009275266647
87	0.009168880463
88	0.009138824463
89	0.009038856506
90	0.009019065857
91	0.009013833046
92	0.008962350845
93	0.00887596035
94	0.008846011162
95	0.008806351662
96	0.008737423897
97	0.008696359634
98	0.008626871109
99	0.008595653534
100	0.008572029114
101	0.008479232788
102	0.00845277977
103	0.008421548843
104	0.008410223961
105	0.008394645691
106	0.008375566483
107	0.008328392982
108	0.008259778976
109	0.008201051712
110	0.00813890934
111	0.008122567177
112	0.008087348938
113	0.008036212921
114	0.008005599976
115	0.007968835354
116	0.007961332321
117	0.00788781929
118	0.00785607338
119	0.007838400841
120	0.007814604759
121	0.007755288124
122	0.007516901016
123	0.007387715816
124	0.007376346111
125	0.007354439735
126	0.007277817249
127	0.007257077694
128	0.007206244946
129	0.007161769867
130	0.007115061283
131	0.007017192841
132	0.00701720047
133	0.007009778023
134	0.006987503529
135	0.00693285656
136	0.006913261414
137	0.006898803711
138	0.006877994537
139	0.006859928131
140	0.006726182461
141	0.006693126678
142	0.006495560169
143	0.006430129051
144	0.006393850803
145	0.00637798214
146	0.006340087414
147	0.006252924919
148	0.006143181324
149	0.006121572495
150	0.006114396095
151	0.006091224194
152	0.005973017216
153	0.00596458292
154	0.005928213596
155	0.005847352028
156	0.005687466621
157	0.005671477795
158	0.005667104244
159	0.005627055168
160	0.005601750374
161	0.005595648766
162	0.005499400139
163	0.005493860245
164	0.005481262207
165	0.005434329033
166	0.005415735245
167	0.005410498619
168	0.005404034615
169	0.005334400177
170	0.005318501949
171	0.005307692528
172	0.005304107666
173	0.005249682426
174	0.005245117188
175	0.005164376736
176	0.005140375614
177	0.005136018753
178	0.005114544868
179	0.005101054192
180	0.0050864501
181	0.005073598862
182	0.005038746834
183	0.005034899712
184	0.004982129574
185	0.004945099831
186	0.004934479713
187	0.004921602249
188	0.004838297844
189	0.004807737827
190	0.004670003414
191	0.004645310402
192	0.004621713638
193	0.004612845421
194	0.004609983921
195	0.004578564167
196	0.004512606621
197	0.004507421494
198	0.004502658367
199	0.004497532368
