Model,Accuracy,Precision,Recall,F1 Score
CatBoost,0.428,0.3236707948352446,0.428,0.33708056112043794
XGBoost,0.381,0.3405201332802651,0.381,0.35193997304255215
Random Forest,0.367,0.3166112131619798,0.367,0.3326257069236762
LightGBM,0.3655,0.33147933320416045,0.3655,0.3434639662106778
