Model,Accuracy,Precision,Recall,F1 Score
CatBoost,0.9935,0.9935230621126554,0.9935,0.9935082463004783
XGBoost,0.993,0.9930352891156462,0.993,0.9930118204710413
LightGBM,0.9925,0.9924943461903224,0.9925,0.992496806403927
Random Forest,0.9885,0.9884667405781644,0.9885,0.9884653650064912
