Model,Accuracy,Precision,Recall,F1 Score
CatBoost,0.9825,0.9832473684774302,0.9825,0.9815321734790744
XGBoost,0.9815,0.9810438725617623,0.9815,0.981110640424372
LightGBM,0.981,0.9804717926578447,0.981,0.9805967226460889
Random Forest,0.9805,0.977553608062442,0.9805,0.9788968656816889
